zip,date
02720,2026-02-03
29072,2026-02-03
60621,2026-02-03
59105,2026-02-03
14075,2026-02-03
97913,2026-02-03
30052,2026-02-03
72086,2026-02-03
11572,2026-02-03
60423,2026-02-03
90605,2026-02-03
11951,2026-02-03
84601,2026-02-03
33859,2026-02-03
95961,2026-02-03
14227,2026-02-03
78660,2026-02-03
30315,2026-02-03
50588,2026-02-03
83814,2026-02-03
94080,2026-02-03
29406,2026-02-03
45238,2026-02-03
31768,2026-02-03
00612,2026-02-03
35064,2026-02-03
91016,2026-02-03
33169,2026-02-03
72045,2026-02-03
95661,2026-02-03
61761,2026-02-03
92646,2026-02-03
00687,2026-02-03
88240,2026-02-03
08054,2026-02-03
10035,2026-02-03
84663,2026-02-03
07676,2026-02-03
63017,2026-02-03
01949,2026-02-03
84005,2026-02-03
08037,2026-02-03
28547,2026-02-03
92010,2026-02-03
33035,2026-02-03
13101,2026-02-03
29207,2026-02-03
29585,2026-02-03
99577,2026-02-03
07508,2026-02-03
57002,2026-02-03
60642,2026-02-03
97869,2026-02-03
01247,2026-02-03
92606,2026-02-03
10467,2026-02-03
65265,2026-02-03
94086,2026-02-03
98642,2026-02-03
31904,2026-02-03
46614,2026-02-03
15235,2026-02-03
35216,2026-02-03
99354,2026-02-03
30093,2026-02-03
90038,2026-02-03
00729,2026-02-03
30101,2026-02-03
28164,2026-02-03
75039,2026-02-03
96001,2026-02-03
21144,2026-02-03
56701,2026-02-03
32835,2026-02-03
02368,2026-02-03
95864,2026-02-03
34211,2026-02-03
48642,2026-02-03
10012,2026-02-03
20601,2026-02-03
27891,2026-02-03
19343,2026-02-03
38301,2026-02-03
46250,2026-02-03
10002,2026-02-03
97223,2026-02-03
85020,2026-02-03
77063,2026-02-03
43302,2026-02-03
55056,2026-02-03
17268,2026-02-03
53158,2026-02-03
33431,2026-02-03
38063,2026-02-03
14219,2026-02-03
72417,2026-02-03
19104,2026-02-03
78154,2026-02-03
32466,2026-02-03
93247,2026-02-03
31014,2026-02-03
14470,2026-02-03
63021,2026-02-03
48183,2026-02-03
93241,2026-02-03
14873,2026-02-03
65233,2026-02-03
30241,2026-02-03
18509,2026-02-03
33012,2026-02-03
02909,2026-02-03
00985,2026-02-03
77407,2026-02-03
55077,2026-02-03
73130,2026-02-03
95203,2026-02-03
65588,2026-02-03
03053,2026-02-03
20746,2026-02-03
97225,2026-02-03
97376,2026-02-03
55317,2026-02-03
30132,2026-02-03
78947,2026-02-03
94606,2026-02-03
97233,2026-02-03
46992,2026-02-03
28012,2026-02-03
29605,2026-02-03
94133,2026-02-03
91932,2026-02-03
91745,2026-02-03
55114,2026-02-03
18102,2026-02-03
11226,2026-02-03
92243,2026-02-03
11725,2026-02-03
89436,2026-02-03
10466,2026-02-03
02375,2026-02-03
60623,2026-02-03
91104,2026-02-03
99354,2026-02-03
94070,2026-02-03
30553,2026-02-03
77002,2026-02-03
84115,2026-02-03
93010,2026-02-03
77565,2026-02-03
60611,2026-02-03
48842,2026-02-03
58401,2026-02-03
05403,2026-02-03
30161,2026-02-03
74733,2026-02-03
11222,2026-02-03
36081,2026-02-03
44035,2026-02-03
47906,2026-02-03
53233,2026-02-03
64056,2026-02-03
00680,2026-02-03
14051,2026-02-03
93610,2026-02-03
93428,2026-02-03
77591,2026-02-03
29526,2026-02-03
70070,2026-02-03
23851,2026-02-03
07103,2026-02-03
77087,2026-02-03
10549,2026-02-03
99336,2026-02-03
76118,2026-02-03
23663,2026-02-03
23226,2026-02-03
53216,2026-02-03
91030,2026-02-03
74464,2026-02-03
38111,2026-02-03
47803,2026-02-03
66216,2026-02-03
78537,2026-02-03
96080,2026-02-03
76112,2026-02-03
12304,2026-02-03
97701,2026-02-03
30022,2026-02-03
46237,2026-02-03
33472,2026-02-03
29579,2026-02-03
44107,2026-02-03
78702,2026-02-03
14207,2026-02-03
75803,2026-02-03
30032,2026-02-03
31405,2026-02-03
31419,2026-02-03
21811,2026-02-03
90047,2026-02-03
77082,2026-02-03
37912,2026-02-03
33334,2026-02-03
76249,2026-02-03
11952,2026-02-03
